k,coor_x,coor_y,t_e,t_i,t_r,ftype0,ftype1,ftype2,herdn
0,144.901,-36.4348,0,2.61781,29.234,0,1,0,3209
1,144.924,-36.4288,3.0335,20.3937,47.2527,0,0,1,1705
2,144.924,-36.4288,10.0918,21.3314,27.933,1,0,0,133
3,144.903,-36.4205,2.72757,8.28675,28.494,1,0,0,213
4,144.907,-36.4179,2.79232,7.78269,27.3594,1,0,0,127
5,144.898,-36.431,2.64236,18.2998,42.5514,0,0,1,6
6,144.927,-36.4573,4.98824,8.4471,29.6806,0,0,1,1176
7,144.935,-36.4647,9.6164,11.7744,38.722,1,0,0,201
8,144.883,-36.45,3.06695,13.6389,18.8613,0,0,1,1235
9,144.887,-36.4185,5.40913,14.9066,32.8757,1,0,0,561
10,144.892,-36.4314,5.38676,22.7979,47.526,0,1,0,135
11,144.563,-36.5257,12.7186,20.2361,42.7988,1,0,0,144
12,144.523,-36.6141,4.28564,12.1413,33.5354,1,0,0,145
13,145.284,-37.1517,35.349,44.748,65.2754,1,0,0,141
14,144.049,-35.6277,9e+06,9e+06,9e+06,0,1,0,86
15,142.246,-37.8965,61.3714,80.2475,9e+06,1,0,0,290
16,144.494,-36.2335,19.5792,30.4657,47.3449,1,0,0,155
17,144.93,-36.4172,8.19705,16.3089,41.5917,1,0,0,326
18,144.497,-36.235,8.78457,15.3306,28.4325,0,0,1,8
19,144.313,-35.8745,21.0774,26.3131,41.0197,0,1,0,1692
20,144.89,-36.4185,7.6427,11.9537,39.5961,1,0,0,32
21,145.273,-37.0165,27.1204,29.8218,45.8685,0,1,0,188
22,144.887,-36.4061,6.85928,10.9085,30.7216,1,0,0,273
23,144.563,-36.5257,13.9356,19.6997,41.3572,0,0,1,1743
24,144.54,-37.147,29.5559,37.1738,61.6061,1,0,0,179
25,145.284,-36.9997,25.93,28.5609,55.0715,0,0,1,1998
26,144.938,-36.4629,5.17937,9.39932,30.638,0,0,1,1350
27,144.955,-36.4697,11.6195,19.5594,33.9729,0,0,1,1054
28,144.87,-36.4066,5.39313,6.82341,21.6985,1,0,0,292
29,144.293,-35.8819,17.6227,20.342,41.7269,1,0,0,399
30,145.31,-37.5911,38.4675,40.1214,56.3726,1,0,0,35
31,145.273,-37.0107,30.2246,35.3347,49.5939,1,0,0,159
32,145.742,-35.591,30.1706,33.3266,49.938,1,0,0,403
33,144.868,-36.1392,21.9755,39.94,68.7991,1,0,0,85
34,144.656,-35.9509,14.1683,17.8573,36.9344,1,0,0,36
35,145.381,-36.1096,23.918,28.9561,51.4951,1,0,0,204
36,144.845,-36.1867,18.9002,22.03,44.4469,1,0,0,102
37,144.899,-36.1769,22.1648,26.7194,49.4191,1,0,0,145
38,144.035,-36.7779,23.142,32.8358,41.4749,1,0,0,56
39,144.064,-36.4215,29.9198,45.5244,63.7404,1,0,0,53
40,146.036,-36.3008,17.0233,22.6247,44.466,1,0,0,279
41,144.546,-37.1482,29.5201,34.4683,56.4579,0,0,1,789
42,144.845,-36.1867,16.8092,25.7002,45.6308,0,0,1,302
43,144.868,-36.1733,18.2223,24.4155,51.2628,0,0,1,5
44,144.525,-37.1704,18.0247,26.1032,47.3991,0,0,1,1790
45,144.925,-36.4525,5.00766,7.21744,32.0375,0,0,1,694
46,144.035,-36.7779,34.0719,40.9461,58.2808,0,0,1,1828
47,142.225,-37.8823,49.2557,63.0701,86.0668,1,0,0,334
48,144.354,-35.8813,20.8375,28.9477,44.5933,1,0,0,342
49,144.438,-36.2339,23.8775,27.7998,48.6861,1,0,0,185
50,144.864,-36.4031,7.89825,15.187,30.6048,1,0,0,532
51,143.886,-35.5338,9e+06,9e+06,9e+06,1,0,0,89
52,145.213,-36.3249,17.3024,18.6815,40.763,1,0,0,222
53,141.9,-37.8717,46.7649,53.8011,79.4108,1,0,0,284
54,142.225,-37.8823,51.3117,58.947,86.8047,0,0,1,4886
55,144.872,-36.1386,28.4399,38.9036,46.8972,1,0,0,540
56,145.202,-36.2564,19.1887,23.5512,52.1661,1,0,0,39
57,144.658,-37.2706,23.8058,31.0574,40.1738,1,0,0,44
58,145.336,-36.8204,32.7578,38.6408,55.7899,1,0,0,153
59,145.284,-36.9997,30.1612,34.2807,56.5794,1,0,0,242
60,143.468,-36.9375,9e+06,9e+06,9e+06,0,1,0,289
61,144.54,-37.147,26.6245,34.3073,48.4992,0,0,1,462
62,146.036,-36.3008,18.4827,22.6792,40.8499,0,0,1,492
63,145.279,-37.165,34.1242,40.7524,60.0459,1,0,0,60
64,144.341,-36.0753,36.42,50.379,75.9014,1,0,0,35
65,146.04,-36.2942,6.46769,16.3577,34.8321,0,0,1,661
66,145.272,-37.0324,30.8458,32.7885,53.5403,0,0,1,886
67,146.446,-36.2911,49.7101,56.3317,79.1726,1,0,0,148
68,145.273,-37.0107,30.401,39.4891,56.6928,0,0,1,1212
69,145.747,-35.6004,33.2293,42.0038,64.2802,1,0,0,151
70,144.849,-36.3991,3.98631,19.5704,36.009,1,0,0,107
71,144.793,-35.8442,24.3042,29.9403,53.2711,0,0,1,1423
72,146.047,-36.2813,18.0101,18.18,34.6428,1,0,0,217
73,146.446,-36.2911,48.9977,65.112,77.8958,0,0,1,508
74,141.904,-37.8842,40.288,48.8576,61.0329,0,0,1,3988
75,145.748,-35.5885,34.8295,38.2168,61.7594,1,0,0,894
76,144.85,-36.3866,7.30385,18.7873,38.9541,1,0,0,459
77,144.873,-36.4448,4.06975,6.95142,23.1135,1,0,0,255
78,145.336,-36.8204,37.7651,43.2146,56.533,0,0,1,713
79,146.435,-36.3098,50.4885,58.7026,75.8244,1,0,0,114
80,146.047,-36.2813,16.4114,19.1235,35.0292,0,0,1,721
81,144.833,-36.1871,19.5113,23.2986,39.3876,1,0,0,279
82,144.849,-36.1773,20.323,23.4703,48.2496,1,0,0,420
83,144.412,-36.2248,17.999,21.8283,39.5961,0,0,1,997
84,144.536,-37.1742,27.1861,30.0818,55.6736,0,0,1,965
85,144.537,-37.145,26.2169,33.356,53.9542,0,0,1,796
86,144.851,-36.4032,11.3778,15.3363,41.7958,1,0,0,69
87,144.718,-36.4577,21.8142,26.8568,37.8386,1,0,0,259
88,145.272,-37.0324,29.9659,32.8118,52.496,1,0,0,213
89,145.747,-35.6004,23.5745,32.7682,50.7673,0,0,1,680
90,144.956,-36.4568,7.38117,12.5483,36.0898,0,0,1,1220
91,146.04,-36.2942,16.6317,26.2302,47.6613,1,0,0,175
92,141.904,-37.8842,49.206,54.4955,67.2633,1,0,0,268
93,146.421,-36.2978,45.7871,49.0745,63.6806,0,0,1,974
94,144.86,-36.3703,15.6419,20.5924,35.0995,1,0,0,346
95,144.887,-36.3692,15.1664,17.7906,30.7332,1,0,0,268
96,144.89,-36.3875,7.05545,27.7995,57.8874,1,0,0,377
97,144.897,-36.3746,13.7783,25.2948,46.1635,1,0,0,113
98,144.534,-36.3703,34.2587,37.3613,56.374,0,1,0,844
99,146.421,-36.3755,57.0047,63.575,84.855,0,1,0,83
